Date,Product,Region,Sales
2021-01-01,Electronics,North,1742.99
2021-01-01,Furniture,West,1030.22
2021-01-01,Furniture,East,866.71
2021-01-01,Furniture,South,792.9
2021-01-01,Furniture,North,1135.93
2021-01-01,Food,East,732.19
2021-01-01,Food,South,737.07
2021-01-01,Food,North,819.65
2021-01-01,Food,West,790.62
2021-01-01,Clothing,East,910.54
2021-01-01,Clothing,South,728.76
2021-01-01,Clothing,North,877.64
2021-01-01,Electronics,West,1769.42
2021-01-01,Electronics,East,1568.32
2021-01-01,Electronics,South,1400.06
2021-01-01,Clothing,West,922.02
2021-01-02,Food,South,787.9
2021-01-02,Furniture,West,1366.79
2021-01-02,Furniture,East,1081.5
2021-01-02,Furniture,South,1027.42
2021-01-02,Furniture,North,1211.37
2021-01-02,Food,West,932.14
2021-01-02,Food,East,771.49
2021-01-02,Food,North,904.83
2021-01-02,Electronics,West,1732.4
2021-01-02,Clothing,East,975.28
2021-01-02,Clothing,South,887.91
2021-01-02,Clothing,North,1201.92
2021-01-02,Electronics,East,1644.41
2021-01-02,Electronics,South,1620.24
2021-01-02,Electronics,North,1832.35
2021-01-02,Clothing,West,940.48
2021-01-03,Food,South,791.79
2021-01-03,Furniture,West,1302.98
2021-01-03,Furniture,East,1092.63
2021-01-03,Furniture,South,998.07
2021-01-03,Furniture,North,1138.24
2021-01-03,Food,West,888.88
2021-01-03,Food,East,834.16
2021-01-03,Food,North,991.66
2021-01-03,Electronics,West,1749.53
2021-01-03,Clothing,East,878.13
2021-01-03,Clothing,South,775.55
2021-01-03,Clothing,North,1104.01
2021-01-03,Electronics,East,1783.41
2021-01-03,Electronics,South,1518.68
2021-01-03,Electronics,North,1922.51
2021-01-03,Clothing,West,1063.67
2021-01-04,Furniture,West,980.65
2021-01-04,Furniture,East,914.75
2021-01-04,Furniture,South,914.94
2021-01-04,Furniture,North,1077.2
2021-01-04,Food,West,885.8
2021-01-04,Food,East,781.53
2021-01-04,Food,South,691.08
2021-01-04,Food,North,796.65
2021-01-04,Clothing,East,873.82
2021-01-04,Clothing,South,785.35
2021-01-04,Clothing,North,844.78
2021-01-04,Electronics,West,1606.34
2021-01-04,Electronics,East,1544.08
2021-01-04,Electronics,South,1280.72
2021-01-04,Electronics,North,1731.12
2021-01-04,Clothing,West,936.19
2021-01-05,Food,South,796.15
2021-01-05,Furniture,West,917.15
2021-01-05,Furniture,East,1005.16
2021-01-05,Furniture,South,907.54
2021-01-05,Furniture,North,1125.38
2021-01-05,Food,West,876.44
2021-01-05,Food,East,605.02
2021-01-05,Food,North,851.26
2021-01-05,Electronics,West,1726.91
2021-01-05,Clothing,East,827.5
2021-01-05,Electronics,North,1773.75
2021-01-05,Electronics,South,1513.3
2021-01-05,Electronics,East,1512.95
2021-01-05,Clothing,West,982.65
2021-01-05,Clothing,North,926.82
2021-01-05,Clothing,South,704.05
2021-01-06,Furniture,West,960.19
2021-01-06,Furniture,East,969.42
2021-01-06,Furniture,South,906.05
2021-01-06,Furniture,North,1059.71
2021-01-06,Food,West,886.54
2021-01-06,Food,South,738.0
2021-01-06,Clothing,West,891.82
2021-01-06,Food,East,768.57
2021-01-06,Clothing,South,713.89
2021-01-06,Clothing,North,835.69
2021-01-06,Electronics,West,1596.02
2021-01-06,Electronics,East,1637.49
2021-01-06,Electronics,South,1439.48
2021-01-06,Electronics,North,1681.88
2021-01-06,Clothing,East,866.83
2021-01-06,Food,North,818.68
2021-01-07,Food,North,844.06
2021-01-07,Furniture,West,1077.18
2021-01-07,Furniture,East,855.47
2021-01-07,Furniture,South,924.23
2021-01-07,Furniture,North,1140.94
2021-01-07,Food,West,835.68
2021-01-07,Food,East,876.47
2021-01-07,Food,South,732.42
2021-01-07,Clothing,West,806.91
2021-01-07,Clothing,South,719.68
2021-01-07,Clothing,North,788.73
2021-01-07,Electronics,West,1621.12
2021-01-07,Electronics,East,1520.22
