Date,Product,Region,Sales,Year,Month,Month_Name,Day,DayOfWeek,Day_Name,Quarter,DayOfYear,WeekOfYear,Is_Weekend,Is_Monday,Is_Friday,Is_Month_Start,Is_Month_End,Is_Q4,Is_December,Days_Since_Start,Lag_1,Lag_7,Lag_14,Lag_30,MA_7,MA_14,MA_30,Std_7
2021-01-31,Clothing,East,941.24,2021,1,January,31,6,Sunday,1,31,4,1,0,0,0,1,0,0,30,966.7,1133.37,751.91,910.54,837.1657142857142,841.5621428571429,852.37,156.42990899623837
2021-02-01,Clothing,East,739.25,2021,2,February,1,0,Monday,1,32,5,0,1,0,1,0,0,0,31,941.24,750.31,814.24,975.28,809.7185714285715,855.0857142857143,853.3933333333333,103.79704321873712
2021-02-02,Clothing,East,844.65,2021,2,February,2,1,Tuesday,1,33,5,0,0,0,1,0,0,0,32,739.25,739.02,834.89,878.13,808.1385714285715,849.7292857142858,845.5256666666667,104.93007472098921
2021-02-03,Clothing,East,792.62,2021,2,February,3,2,Wednesday,1,34,5,0,0,0,1,0,0,0,33,844.65,796.87,795.21,873.82,823.2285714285715,850.4264285714286,844.4096666666667,100.8494540438984
2021-02-04,Clothing,East,844.86,2021,2,February,4,3,Thursday,1,35,5,0,0,0,1,0,0,0,34,792.62,695.61,892.07,827.5,822.6214285714285,850.2414285714286,841.703,101.04718723259467
2021-02-05,Clothing,East,696.68,2021,2,February,5,4,Friday,1,36,5,0,0,1,1,0,0,0,35,844.86,778.28,828.7,866.83,843.9428571428572,846.8692857142858,842.2816666666666,84.10671013941861
2021-02-06,Clothing,East,1054.19,2021,2,February,6,5,Saturday,1,37,5,1,0,0,0,0,0,0,36,696.68,966.7,1004.69,779.31,832.2857142857143,837.4392857142857,836.6100000000001,99.05145764654227
2021-02-07,Clothing,East,979.35,2021,2,February,7,6,Sunday,1,38,5,1,0,0,0,0,0,0,37,1054.19,941.24,1133.37,883.85,844.7842857142857,840.975,845.7726666666666,121.7565599679873
2021-02-08,Clothing,East,1012.2,2021,2,February,8,0,Monday,1,39,6,0,1,0,0,0,0,0,38,979.35,739.25,750.31,910.04,850.2285714285714,829.9735714285715,848.956,127.50470859652874
2021-02-09,Clothing,East,723.07,2021,2,February,9,1,Tuesday,1,40,6,0,0,0,0,0,0,0,39,1012.2,844.65,739.02,992.48,889.2214285714286,848.68,852.3613333333334,129.62773898470073
2021-02-10,Clothing,East,653.31,2021,2,February,10,2,Wednesday,1,41,6,0,0,0,0,0,0,0,40,723.07,792.62,796.87,863.04,871.8528571428571,847.5407142857142,843.381,143.94913357551982
2021-02-11,Clothing,East,840.35,2021,2,February,11,3,Thursday,1,42,6,0,0,0,0,0,0,0,41,653.31,844.86,695.61,731.09,851.9514285714286,837.2864285714286,836.39,164.84274581436406
2021-02-12,Clothing,East,908.69,2021,2,February,12,4,Friday,1,43,6,0,0,1,0,0,0,0,42,840.35,696.68,778.28,810.67,851.3071428571428,847.6250000000001,840.0319999999999,164.88389053252854
2021-02-13,Clothing,East,1055.26,2021,2,February,13,5,Saturday,1,44,6,1,0,0,0,0,0,0,43,908.69,1054.19,966.7,785.08,881.5942857142858,856.9399999999999,843.2993333333335,150.60004757161073
2021-02-14,Clothing,East,1029.07,2021,2,February,14,6,Sunday,1,45,6,1,0,0,0,0,0,0,44,1055.26,979.35,941.24,756.57,881.7471428571428,863.2657142857142,852.3053333333334,150.80483090342136
2021-02-15,Clothing,East,846.14,2021,2,February,15,0,Monday,1,46,7,0,1,0,0,0,0,0,45,1029.07,1012.2,739.25,945.0,888.8500000000001,869.5392857142857,861.3886666666666,157.20323077680894
2021-02-16,Clothing,East,801.66,2021,2,February,16,1,Tuesday,1,47,7,0,0,0,0,0,0,0,46,846.14,723.07,844.65,751.91,865.1271428571428,877.1742857142857,858.0933333333334,147.73097087998454
2021-02-17,Clothing,East,785.86,2021,2,February,17,2,Wednesday,1,48,7,0,0,0,0,0,0,0,47,801.66,653.31,792.62,814.24,876.3542857142857,874.1035714285715,859.7516666666667,137.78736261079274
2021-02-18,Clothing,East,890.02,2021,2,February,18,3,Thursday,1,49,7,0,0,0,0,0,0,0,48,785.86,840.35,844.86,834.89,895.2900000000001,873.6207142857141,858.8056666666666,107.8908995235464
2021-02-19,Clothing,East,877.12,2021,2,February,19,4,Friday,1,50,7,0,0,1,0,0,0,0,49,890.02,908.69,696.68,795.21,902.3857142857142,876.8464285714286,860.6433333333333,105.27709656855448
2021-02-20,Clothing,East,1033.15,2021,2,February,20,5,Saturday,1,51,7,1,0,0,0,0,0,0,50,877.12,1055.26,1054.19,892.07,897.8757142857141,889.735,863.3736666666666,105.63761480601853
2021-02-21,Clothing,East,1179.07,2021,2,February,21,6,Sunday,1,52,7,1,0,0,0,0,0,0,51,1033.15,1029.07,979.35,828.7,894.7171428571428,888.2321428571429,868.0763333333333,100.34550059906114
